,Fund,Study Area Code,Company Name,Carrier,Latitude,Longitude,Deployment Address,Deployment City,Deployment State,Deployment ZIP Code,SAC Primary State,Deployment Date,Filing Year,Census Block,Locations Deployed,Download/Upload Speed Tier,Technology,Other Technology,Latency,Overlapping Locations,FIPSCODE,geometry
37,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.419554,-85.005991,5919 S S EAST SHORE DR,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339707001234,1,10 Mbps/1 Mbps,,,,False,86700,POINT (-85.00599099999999 46.419554)
39,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.620012,-85.036535,80 FEET SOUTH OF 7678 N TAHQUA TRL,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001134,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.036535 46.620012)
40,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.425796,-85.04082,32373 WEST JOHNSON LAKE,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339707001194,1,4 Mbps/1 Mbps,,,,False,86700,POINT (-85.04082 46.425796)
41,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.330593,-85.150324,37863 STATE HWY 28,HULBERT,MI,49748,MI,10/01/2006,2016,260339707002038,1,10 Mbps/1 Mbps,,,,False,39860,POINT (-85.150324 46.330593)
42,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.327322,-85.141322,37403 W LAKEVIEW DR,ECKERMAN,MI,49728,MI,10/01/2006,2016,260339707002052,1,10 Mbps/1 Mbps,,,,False,39860,POINT (-85.141322 46.327322)
43,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.320805,-85.141371,37375 FORREST LN,ECKERMAN,MI,49728,MI,10/01/2006,2016,260339707002052,1,10 Mbps/1 Mbps,,,,False,39860,POINT (-85.14137100000001 46.320805)
44,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.330904,-85.149005,37667 STATE HWY 28,HULBERT,MI,49748,MI,10/01/2006,2016,260339707002038,1,10 Mbps/1 Mbps,,,,False,39860,POINT (-85.149005 46.330904)
45,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.345934,-84.983919,29701 W STATE HWY 28,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339707002069,1,10 Mbps/1 Mbps,,,,False,15560,POINT (-84.983919 46.345934)
46,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.987638,-83.85145,35807 S ANNA DR,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001123,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.85145 45.987638)
47,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.565044,-85.083508,1000 FEET N OF INTERSECTION OF W TAHQUAMENON TRL AND HIAWATHA HUNTING CLUB RD,PARADISE,MI,49768,MI,12/10/2018,2018,260339707001129,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.08350799999999 46.565044)
48,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.471414,-85.102913,2368 WHITE FISH RD STATE HWY 123,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339707001172,1,10 Mbps/1 Mbps,,,,False,86700,POINT (-85.102913 46.471414)
49,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.966452,-83.635811,34983 E JOHNSWOOD RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711002077,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.635811 45.966452)
50,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.606911,-85.039059,7087 STATE HWY 123,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001289,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.03905899999999 46.606911)
51,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.682591,-85.0304,12158 N N SUPERIOR DR,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001008,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.0304 46.682591)
52,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.633231,-85.048117,32809 SHELLDRAKE RD,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001034,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.048117 46.633231)
53,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.991078,-83.674272,32849 E JOHNSWOOD RD,DRUMMOND ISLAND TWP,MI,49726,MI,12/31/2015,2016,260339711002079,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.674272 45.991078)
54,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.417746,-85.012713,31082 W SOUTH SHORE DR,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339707001236,1,10 Mbps/1 Mbps,,,,False,15560,POINT (-85.01271300000001 46.417746)
55,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.16289,-85.233331,W7520 CHURCH ST,NAUBINWAY,MI,49762,MI,12/31/2012,2016,260979502002102,1,10 Mbps/1 Mbps,,,,False,37660,POINT (-85.23333100000001 46.16289)
56,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.426863,-84.949958,28455 W W MAPLE LN,ECKERMAN,MI,49728,MI,12/28/2014,2016,260339707001243,1,100 Mbps/25 Mbps,,,,False,06070,POINT (-84.949958 46.426863)
57,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.759225,-84.968354,17498 N N WHITEFISH POINT RD,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001001,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-84.96835400000001 46.759225)
58,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.425815,-85.016885,70 FEET WEST OF 33348 W NORTH SHORE DR,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339707001191,1,10 Mbps/1 Mbps,,,,False,86700,POINT (-85.016885 46.425815)
59,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.993636,-83.70145,31759 E JOHNSWOOD RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711002088,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.70144999999999 45.993636)
60,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.423459,-85.037677,170 FEET EAST OF 32229 WEST JOHNSON LAKE,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339707001192,1,10 Mbps/1 Mbps,,,,False,86700,POINT (-85.037677 46.423459)
61,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.920354,-83.531429,40020 E BASS COVE RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711002130,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.531429 45.920354)
62,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.331032,-85.054295,34195 W STATE HWY 28,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339707002065,1,10 Mbps/1 Mbps,,,,False,15560,POINT (-85.054295 46.331032)
63,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.699306,-85.032588,13405 N N ROBINDALE CIR,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001065,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.032588 46.699306)
64,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.928226,-83.605539,39793 E MAKINEN RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711002097,1,4 Mbps/1 Mbps,,,,False,23080,POINT (-83.60553899999999 45.928226)
65,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.159617,-85.30846,W8962 W HIAWATHA TRL,NAUBINWAY,MI,49762,MI,12/31/2012,2016,260979502002078,1,4 Mbps/1 Mbps,,,,False,39760,POINT (-85.30846 46.159617)
66,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.936951,-83.78243,40470 S CREAM CITY PT RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001012,1,25 Mbps/3 Mbps,,,,False,23080,POINT (-83.78243000000001 45.936951)
67,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.933721,-83.617071,39327 S MCKENZIE POINT RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711002097,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.617071 45.933721)
69,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.97024,-83.871837,37435 S HUMMS RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001117,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.871837 45.97024)
70,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.988209,-83.852142,35700 S ANNA DR,DRUMMOND ISLAND TWP,MI,49726,MI,12/31/2015,2016,260339711001127,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.852142 45.988209)
71,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.423534,-84.962724,28165 W W MAPLE LN,ECKERMAN,MI,49728,MI,12/28/2014,2016,260339707001243,1,100 Mbps/25 Mbps,,,,False,06070,POINT (-84.96272399999999 46.423534)
72,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.162623,-85.218475,W7234 W HIAWATHA TRL,NAUBINWAY,MI,49762,MI,12/31/2012,2016,260979502002102,1,4 Mbps/1 Mbps,,,,False,37660,POINT (-85.218475 46.162623)
73,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.011827,-83.777642,34157 S MURIEL RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711002146,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.777642 46.011827)
74,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.463291,-84.735358,17734 W LAKESHORE DR,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339706003128,1,10 Mbps/1 Mbps,,,,False,06070,POINT (-84.73535800000001 46.463291)
75,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.034473,-83.674932,32884 S MAXTON RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711002030,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.674932 46.034473)
76,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.374927,-84.703043,16281 W STATE HWY 28,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339708002008,1,10 Mbps/1 Mbps,,,,False,77540,POINT (-84.70304299999999 46.374927)
78,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.46888,-85.099761,2551 WHITE FISH RD STATE HWY 123,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339707001178,1,10 Mbps/1 Mbps,,,,False,86700,POINT (-85.099761 46.46888)
79,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.158553,-85.250878,W7855 W HIAWATHA TRL,NAUBINWAY,MI,49762,MI,12/31/2012,2016,260979502002115,1,10 Mbps/1 Mbps,,,,False,39760,POINT (-85.250878 46.158553)
80,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.366126,-85.03812,32526 W COMPANY ROW,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339707002015,1,10 Mbps/1 Mbps,,,,False,15560,POINT (-85.03812000000001 46.366126)
81,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.624053,-85.03806,8129 STATE HWY 123,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001289,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.03806 46.624053)
82,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.976085,-83.881691,36658 S CRAB PT ROW,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001114,1,4 Mbps/1 Mbps,,,,False,23080,POINT (-83.881691 45.976085)
83,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.569669,-85.590998,23408 CO 407 DEER PARK RD,NEWBERRY,MI,49868,MI,10/01/2018,2018,260959602001172,1,10 Mbps/1 Mbps,,,,False,50440,POINT (-85.590998 46.569669)
84,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.37576,-84.518349,7440 STATE HWY 28,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339706002100,1,10 Mbps/1 Mbps,,,,False,77540,POINT (-84.518349 46.37576)
85,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.759507,-84.968121,17506 N N WHITEFISH POINT RD,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001001,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-84.968121 46.759507)
86,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.744059,-84.990555,16380 N N WHITEFISH POINT RD,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001004,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-84.990555 46.744059)
87,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.694277,-85.028919,12954 N N SUPERIOR DR,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001008,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.028919 46.694277)
88,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.03645,-83.699686,31787 E TOURIST RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711002030,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.699686 46.03645)
89,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.969348,-83.641105,34719 E RUHAMAKI RD,DRUMMOND ISLAND,MI,49726,MI,09/30/2019,2019,260339711002077,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.641105 45.969348)
91,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.374812,-84.724239,9109 S LILLIAN,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339706003244,1,10 Mbps/1 Mbps,,,,False,77540,POINT (-84.724239 46.374812)
92,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.010567,-83.778561,28044 E STRICKLAND POINT RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001002,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.778561 46.010567)
93,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.358943,-84.968131,10099 S S SALT PT RD IBO RD,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339706003185,1,10 Mbps/1 Mbps,,,,False,15560,POINT (-84.968131 46.358943)
94,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.944881,-83.779007,41169 S CREAM CITY PT RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001012,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.77900699999999 45.944881)
95,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.465705,-84.882528,24872 W LAKESHORE DR,BRIMLEY,MI,49715,MI,12/28/2014,2016,260339706003008,1,10 Mbps/1 Mbps,,,,False,06070,POINT (-84.88252799999999 46.465705)
96,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.75086,-84.980628,16860 N N WHITEFISH POINT RD,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001004,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-84.980628 46.75086)
97,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.683724,-85.036427,32282 W ST MICHAELS PL,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001037,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.036427 46.683724)
98,ACAM,310685,"TELEPHONE AND DATA SYSTEMS, INC.",CHATHAM TEL CO - MI,45.759117,-84.366454,1629 E HURON DR,POINTE AUX PINS,MI,49775,MI,12/25/2022,2022,260979505001024,1,1 Gbps/500 Mbps,,,,False,09500,POINT (-84.366454 45.759117)
99,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.466146,-84.877756,24612 W LAKESHORE DR,BRIMLEY,MI,49715,MI,12/28/2014,2016,260339706003008,1,10 Mbps/1 Mbps,,,,False,06070,POINT (-84.87775600000001 46.466146)
